place,event_type,model,segment_length,ebr,roc_auc_mse,pr_auc_score,run_id
metro_station,glassbreak,wavenet,4096,6,0.471902102180009,0.5867657096329268,1
metro_station,gunshot,wavenet,4096,-6,0.4768913129770039,0.5900980674873201,1
metro_station,gunshot,wavenet,4096,0,0.4777059783171351,0.5903958631469681,1
metro_station,gunshot,wavenet,4096,6,0.4793296094790346,0.5917916282789242,1
park,glassbreak,wavenet,4096,-6,0.4711567297278262,0.587037110306635,1
park,glassbreak,wavenet,4096,0,0.4677397743898803,0.5845811900181953,1
park,glassbreak,wavenet,4096,6,0.4690335924395836,0.5853512370773283,1
park,gunshot,wavenet,4096,-6,0.4740647211651163,0.5872193849818296,1
park,gunshot,wavenet,4096,0,0.47539791279074,0.5883083414329187,1
park,gunshot,wavenet,4096,6,0.4761554439345972,0.589315880479522,1
tram,glassbreak,wavenet,4096,-6,0.4706067416516355,0.5864166108444205,1
tram,glassbreak,wavenet,4096,0,0.4725500534486411,0.5874310275409937,1
tram,glassbreak,wavenet,4096,6,0.4714737038288981,0.5868083024523907,1
tram,gunshot,wavenet,4096,-6,0.4762374550752121,0.5881837462979499,1
tram,gunshot,wavenet,4096,0,0.4755276874117393,0.5893903360990039,1
tram,gunshot,wavenet,4096,6,0.4773868733909545,0.5899658796276318,1
bus,glassbreak,wavenet,4096,-6,0.4687315488580375,0.5837726928040942,1
bus,glassbreak,wavenet,4096,0,0.4696170018230715,0.5857224114597825,1
bus,glassbreak,wavenet,4096,6,0.4673772876899062,0.5834878555679648,1
bus,gunshot,wavenet,4096,-6,0.4737001703380187,0.5870076720509059,1
bus,gunshot,wavenet,4096,0,0.4751609987386926,0.5882965323260823,1
bus,gunshot,wavenet,4096,6,0.4748094259353623,0.5873202568110366,1
metro_station,glassbreak,wavenet,4096,-6,0.4688155380787209,0.5852684043754554,2
metro_station,glassbreak,wavenet,4096,0,0.4691919146603867,0.5854834342549189,2
metro_station,glassbreak,wavenet,4096,6,0.4705695509823454,0.5861415543914216,2
metro_station,gunshot,wavenet,4096,-6,0.4787010064490029,0.5895683336897206,2
metro_station,gunshot,wavenet,4096,0,0.4793791223045495,0.5915058682587556,2
metro_station,gunshot,wavenet,4096,6,0.4790276241231355,0.5903580530102007,2
park,glassbreak,wavenet,4096,-6,0.4698344786063193,0.5852250912402286,2
park,glassbreak,wavenet,4096,0,0.4696716993360135,0.5849946563620986,2
park,glassbreak,wavenet,4096,6,0.4691797606115934,0.585896523098721,2
park,gunshot,wavenet,4096,-6,0.4755977979082991,0.5892503098791014,2
park,gunshot,wavenet,4096,0,0.473037504160286,0.5863566137867167,2
park,gunshot,wavenet,4096,6,0.4771462279386324,0.5888380279372427,2
tram,glassbreak,wavenet,4096,-6,0.4739731790940879,0.5897279727288515,2
tram,glassbreak,wavenet,4096,0,0.4731678822324996,0.5893513878544229,2
tram,glassbreak,wavenet,4096,6,0.4715761927784547,0.5881334626631973,2
tram,gunshot,wavenet,4096,-6,0.4833744373243429,0.5936962986206744,2
tram,gunshot,wavenet,4096,0,0.4828053321543332,0.594097286264977,2
tram,gunshot,wavenet,4096,6,0.4802267507945038,0.5917208734951833,2
bus,glassbreak,wavenet,4096,-6,0.4680464772090076,0.5839596274891161,2
bus,glassbreak,wavenet,4096,0,0.4674684150563766,0.5837824598057474,2
bus,glassbreak,wavenet,4096,6,0.4680987610402861,0.5848562397733023,2
bus,gunshot,wavenet,4096,-6,0.4756049477619088,0.5888728931690752,2
bus,gunshot,wavenet,4096,0,0.4745277928171889,0.5880576600494329,2
bus,gunshot,wavenet,4096,6,0.474276713557146,0.5878039282531796,2
metro_station,glassbreak,wavenet,4096,-6,0.4694480300909335,0.5835096915993369,3
metro_station,glassbreak,wavenet,4096,0,0.4705761244624941,0.5829176242171978,3
metro_station,glassbreak,wavenet,4096,6,0.4695110952288286,0.5832382855523931,3
metro_station,gunshot,wavenet,4096,-6,0.4764747349700232,0.5864773729630831,3
metro_station,gunshot,wavenet,4096,0,0.4770507353167482,0.5869999529448444,3
metro_station,gunshot,wavenet,4096,6,0.4739976675417769,0.585165457316305,3
park,glassbreak,wavenet,4096,-6,0.4683542937848177,0.5822060547425861,3
park,glassbreak,wavenet,4096,0,0.4697127821267802,0.5833001605819746,3
park,glassbreak,wavenet,4096,6,0.4663446935720274,0.5804797035105183,3
park,gunshot,wavenet,4096,-6,0.4761061720479836,0.586826973130771,3
park,gunshot,wavenet,4096,0,0.477415957550049,0.5879592635101565,3
park,gunshot,wavenet,4096,6,0.4751380830687405,0.584737361934054,3
tram,glassbreak,wavenet,4096,-6,0.4691663117582082,0.5835305610476588,3
tram,glassbreak,wavenet,4096,0,0.4701670800472249,0.5847849921665865,3
tram,glassbreak,wavenet,4096,6,0.4663568969692038,0.5813291475750749,3
tram,gunshot,wavenet,4096,-6,0.4770788942526912,0.5881119026394043,3
tram,gunshot,wavenet,4096,0,0.4738382782773238,0.5856574703205986,3
tram,gunshot,wavenet,4096,6,0.4762725721325722,0.5866384788633692,3
bus,glassbreak,wavenet,4096,-6,0.4689451828368515,0.5842713485687105,3
bus,glassbreak,wavenet,4096,0,0.4705089461979688,0.5856049181160548,3
bus,glassbreak,wavenet,4096,6,0.4703801060810826,0.5843791819929313,3
bus,gunshot,wavenet,4096,-6,0.4772614426350482,0.5881175942173505,3
bus,gunshot,wavenet,4096,0,0.4781534752206084,0.5882260080618233,3
bus,gunshot,wavenet,4096,6,0.4747006897622937,0.5853026393475484,3
metro_station,glassbreak,wavenet,4096,-6,0.4695825535677984,0.5823232604659141,4
metro_station,glassbreak,wavenet,4096,0,0.4703398629623656,0.5831907588235249,4
metro_station,glassbreak,wavenet,4096,6,0.470810333171728,0.5836829165614303,4
metro_station,gunshot,wavenet,4096,-6,0.4762156877331457,0.5857170823927346,4
metro_station,gunshot,wavenet,4096,0,0.477542296621724,0.5870936101765345,4
metro_station,gunshot,wavenet,4096,6,0.4797273980020599,0.5881388066163775,4
