place,event_type,model,segment_length,ebr,roc_auc_mse,pr_auc_score,run_id
park,glassbreak,conv-spad-256-64-100,4096,-6,0.7875570698335141,0.8739260346688438,3
park,glassbreak,conv-spad-256-64-100,4096,0,0.8330297094003348,0.9067612271931222,3
park,glassbreak,conv-spad-256-64-100,4096,6,0.8844766103735217,0.9387546793196966,3
tram,gunshot,conv-spad-256-64-100,4096,-6,0.5681283557716926,0.6848954812047024,3
tram,gunshot,conv-spad-256-64-100,4096,0,0.6866960766342333,0.7870922917716916,3
tram,gunshot,conv-spad-256-64-100,4096,6,0.818583671284432,0.8902557116430155,3
tram,glassbreak,conv-spad-256-64-100,4096,-6,0.7647981171642753,0.8570653122480572,3
tram,glassbreak,conv-spad-256-64-100,4096,0,0.8197866679489604,0.8974802108116805,3
tram,glassbreak,conv-spad-256-64-100,4096,6,0.8791340622729713,0.9350167583645376,3
bus,gunshot,conv-spad-256-64-100,4096,-6,0.7156969001350356,0.804369970758213,3
bus,gunshot,conv-spad-256-64-100,4096,0,0.8540063660756201,0.9098555844014647,3
bus,gunshot,conv-spad-256-64-100,4096,6,0.9346894443843664,0.9636517156902183,3
bus,glassbreak,conv-spad-256-64-100,4096,-6,0.8091204866630121,0.8885061595177075,3
bus,glassbreak,conv-spad-256-64-100,4096,0,0.8805768798745085,0.934889133249999,3
bus,glassbreak,conv-spad-256-64-100,4096,6,0.9367275704761452,0.9670892060103412,3
metro_station,gunshot,conv-spad-256-64-100,4096,-6,0.5440670522013005,0.6656764944452228,4
metro_station,gunshot,conv-spad-256-64-100,4096,0,0.6017908396021228,0.7126629112914076,4
metro_station,gunshot,conv-spad-256-64-100,4096,6,0.7005489694370473,0.7987849193947028,4
metro_station,glassbreak,conv-spad-256-64-100,4096,-6,0.746154184511029,0.8397035721548781,4
metro_station,glassbreak,conv-spad-256-64-100,4096,0,0.7792792909745205,0.8673935575006042,4
metro_station,glassbreak,conv-spad-256-64-100,4096,6,0.8204740091433869,0.8978630216073256,4
park,gunshot,conv-spad-256-64-100,4096,-6,0.6139049615549828,0.7281088781235396,4
park,gunshot,conv-spad-256-64-100,4096,0,0.7194124690572574,0.8159985581116035,4
park,gunshot,conv-spad-256-64-100,4096,6,0.8360561262016263,0.9024280657093532,4
park,glassbreak,conv-spad-256-64-100,4096,-6,0.7861292117656092,0.873000091719083,4
park,glassbreak,conv-spad-256-64-100,4096,0,0.8327095066526042,0.9064673897784128,4
park,glassbreak,conv-spad-256-64-100,4096,6,0.8850306458857619,0.9389102674819114,4
tram,gunshot,conv-spad-256-64-100,4096,-6,0.5737027269021333,0.6892373340434739,4
tram,gunshot,conv-spad-256-64-100,4096,0,0.6904360455186942,0.7906965926583707,4
tram,gunshot,conv-spad-256-64-100,4096,6,0.820397052160596,0.8917496810283606,4
tram,glassbreak,conv-spad-256-64-100,4096,-6,0.768846176702464,0.8604738130016651,4
tram,glassbreak,conv-spad-256-64-100,4096,0,0.8228786522597068,0.8996477546615671,4
tram,glassbreak,conv-spad-256-64-100,4096,6,0.8819569690557043,0.9367633138944504,4
bus,gunshot,conv-spad-256-64-100,4096,-6,0.7123701577368222,0.8027632859324776,4
bus,gunshot,conv-spad-256-64-100,4096,0,0.8503012724791209,0.908122995206992,4
bus,gunshot,conv-spad-256-64-100,4096,6,0.9336631908843998,0.9630260645579296,4
bus,glassbreak,conv-spad-256-64-100,4096,-6,0.8090631230341762,0.8880445519970728,4
bus,glassbreak,conv-spad-256-64-100,4096,0,0.881690647223089,0.9352883644207192,4
bus,glassbreak,conv-spad-256-64-100,4096,6,0.9370064370793848,0.9672673077687975,4
street_traffic,gunshot,conv-spad-256-64-100,4096,-6,0.5324904163005105,0.6631076353887936,0
street_traffic,gunshot,conv-spad-256-64-100,4096,0,0.642092505033791,0.7447618123454224,0
street_traffic,gunshot,conv-spad-256-64-100,4096,6,0.7953221924227871,0.8661886612424698,0
street_traffic,glassbreak,conv-spad-256-64-100,4096,-6,0.7361558115120035,0.8379433806337483,0
street_traffic,glassbreak,conv-spad-256-64-100,4096,0,0.8021580618778686,0.8879682611351734,0
street_traffic,glassbreak,conv-spad-256-64-100,4096,6,0.8706812068532275,0.9301675012053724,0
street_pedestrian,gunshot,conv-spad-256-64-100,4096,-6,0.5166476960326774,0.6566060146871171,0
street_pedestrian,gunshot,conv-spad-256-64-100,4096,0,0.6085298382725598,0.7381450857600401,0
street_pedestrian,gunshot,conv-spad-256-64-100,4096,6,0.7569263103584576,0.8523447964952696,0
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,-6,0.687589442438746,0.8033337991099028,0
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,0,0.7602114664262627,0.8629188236430393,0
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,6,0.8359897351643117,0.914248840245648,0
shopping_mall,gunshot,conv-spad-256-64-100,4096,-6,0.5060049787039524,0.6470293895833213,0
shopping_mall,gunshot,conv-spad-256-64-100,4096,0,0.5997370736423956,0.7244805552616095,0
shopping_mall,gunshot,conv-spad-256-64-100,4096,6,0.7708035348389726,0.8588819754786938,0
shopping_mall,glassbreak,conv-spad-256-64-100,4096,-6,0.7009783225221036,0.8175810754111472,0
shopping_mall,glassbreak,conv-spad-256-64-100,4096,0,0.7736403392998644,0.8742021771591388,0
shopping_mall,glassbreak,conv-spad-256-64-100,4096,6,0.8503860723158947,0.922803340102934,0
public_square,gunshot,conv-spad-256-64-100,4096,-6,0.5150487094123006,0.6551811829763005,0
public_square,gunshot,conv-spad-256-64-100,4096,0,0.6245291424438785,0.7456434168003873,0
public_square,gunshot,conv-spad-256-64-100,4096,6,0.779599074299968,0.8638679938964116,0
public_square,glassbreak,conv-spad-256-64-100,4096,-6,0.6934350420249861,0.8029147671699843,0
public_square,glassbreak,conv-spad-256-64-100,4096,0,0.7750484357303125,0.868435134179628,0
public_square,glassbreak,conv-spad-256-64-100,4096,6,0.8570429249577428,0.923592490667601,0
airport,gunshot,conv-spad-256-64-100,4096,-6,0.5033522262488475,0.6420507532045219,0
airport,gunshot,conv-spad-256-64-100,4096,0,0.5550360726067972,0.6853407465442075,0
airport,gunshot,conv-spad-256-64-100,4096,6,0.7006380778383311,0.8016409536386019,0
airport,glassbreak,conv-spad-256-64-100,4096,-6,0.700203487006004,0.8074934167795254,0
airport,glassbreak,conv-spad-256-64-100,4096,0,0.7513089140676333,0.8519103051857874,0
airport,glassbreak,conv-spad-256-64-100,4096,6,0.8190021169833538,0.8998798295128163,0
street_traffic,gunshot,conv-spad-256-64-100,4096,-6,0.5363148361540226,0.6631351268454894,1
street_traffic,gunshot,conv-spad-256-64-100,4096,0,0.6458275324662115,0.7444223222810477,1
street_traffic,gunshot,conv-spad-256-64-100,4096,6,0.7972560106941275,0.8657242548002838,1
street_traffic,glassbreak,conv-spad-256-64-100,4096,-6,0.7377803946353956,0.8372940139866942,1
street_traffic,glassbreak,conv-spad-256-64-100,4096,0,0.8026291656350448,0.8872516778235263,1
street_traffic,glassbreak,conv-spad-256-64-100,4096,6,0.869931271777195,0.9293269242500184,1
street_pedestrian,gunshot,conv-spad-256-64-100,4096,-6,0.5189216191441279,0.6577161831811873,1
street_pedestrian,gunshot,conv-spad-256-64-100,4096,0,0.6108498936326053,0.7393039256187222,1
street_pedestrian,gunshot,conv-spad-256-64-100,4096,6,0.7579493176699851,0.8525978680535661,1
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,-6,0.6901291278241548,0.8047001837915477,1
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,0,0.7611876758941835,0.8631484549926378,1
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,6,0.833754537036347,0.9131186209389778,1
shopping_mall,gunshot,conv-spad-256-64-100,4096,-6,0.5031102492161865,0.6436253942442259,1
shopping_mall,gunshot,conv-spad-256-64-100,4096,0,0.5973587619594114,0.7216319613839086,1
shopping_mall,gunshot,conv-spad-256-64-100,4096,6,0.7695307854095887,0.857468652857753,1
shopping_mall,glassbreak,conv-spad-256-64-100,4096,-6,0.6998912181837209,0.8167615656316836,1
shopping_mall,glassbreak,conv-spad-256-64-100,4096,0,0.7707144857876804,0.8726131438797454,1
shopping_mall,glassbreak,conv-spad-256-64-100,4096,6,0.8486631458475877,0.9217145641335855,1
public_square,gunshot,conv-spad-256-64-100,4096,-6,0.5147286577222342,0.6529203752773198,1
public_square,gunshot,conv-spad-256-64-100,4096,0,0.6242688792398217,0.743440837539603,1
public_square,gunshot,conv-spad-256-64-100,4096,6,0.7809205725294115,0.8634690477234204,1
public_square,glassbreak,conv-spad-256-64-100,4096,-6,0.6928080118524201,0.8017545424856217,1
public_square,glassbreak,conv-spad-256-64-100,4096,0,0.773847843398472,0.8672150615220634,1
public_square,glassbreak,conv-spad-256-64-100,4096,6,0.856156624825937,0.9228056580585488,1
airport,gunshot,conv-spad-256-64-100,4096,-6,0.5050949559590835,0.6423553903856869,1
airport,gunshot,conv-spad-256-64-100,4096,0,0.5577859307506505,0.6857640553942785,1
airport,gunshot,conv-spad-256-64-100,4096,6,0.7007202744096716,0.8005835888264617,1
airport,glassbreak,conv-spad-256-64-100,4096,-6,0.7014946934888482,0.8067212747252956,1
airport,glassbreak,conv-spad-256-64-100,4096,0,0.7506296461841172,0.8503964198999278,1
airport,glassbreak,conv-spad-256-64-100,4096,6,0.8168342202118629,0.8979227685132638,1
street_traffic,gunshot,conv-spad-256-64-100,4096,-6,0.5361331158059437,0.6638169571371249,2
street_traffic,gunshot,conv-spad-256-64-100,4096,0,0.6453168351748917,0.7456786612738391,2
street_traffic,gunshot,conv-spad-256-64-100,4096,6,0.7966039954723447,0.8664388219153834,2
street_traffic,glassbreak,conv-spad-256-64-100,4096,-6,0.7399989816023836,0.8399969890867203,2
street_traffic,glassbreak,conv-spad-256-64-100,4096,0,0.8054714721806695,0.8894528452126239,2
street_traffic,glassbreak,conv-spad-256-64-100,4096,6,0.8714977262956323,0.9305878095940148,2
street_pedestrian,gunshot,conv-spad-256-64-100,4096,-6,0.5147317548371565,0.6548977834273557,2
street_pedestrian,gunshot,conv-spad-256-64-100,4096,0,0.6077975151709916,0.7370223838980485,2
street_pedestrian,gunshot,conv-spad-256-64-100,4096,6,0.7574292610274896,0.8521813565943732,2
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,-6,0.6923979908069575,0.8065535136967814,2
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,0,0.7634394638372896,0.8648890880102815,2
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,6,0.8363299392486845,0.914503654269253,2
shopping_mall,gunshot,conv-spad-256-64-100,4096,-6,0.5057842796807815,0.6447944868149231,2
shopping_mall,gunshot,conv-spad-256-64-100,4096,0,0.6017530169809902,0.7237869299571326,2
shopping_mall,gunshot,conv-spad-256-64-100,4096,6,0.7714716349487022,0.8586314890708622,2
shopping_mall,glassbreak,conv-spad-256-64-100,4096,-6,0.7040536210927002,0.8195478068071399,2
shopping_mall,glassbreak,conv-spad-256-64-100,4096,0,0.7747272881309357,0.8747570036246227,2
shopping_mall,glassbreak,conv-spad-256-64-100,4096,6,0.8504196417997087,0.9227076838896228,2
public_square,gunshot,conv-spad-256-64-100,4096,-6,0.5142984605603136,0.6517462947897729,2
public_square,gunshot,conv-spad-256-64-100,4096,0,0.6225511130690878,0.7417061130309559,2
public_square,gunshot,conv-spad-256-64-100,4096,6,0.7798465731315279,0.8622885416984145,2
public_square,glassbreak,conv-spad-256-64-100,4096,-6,0.69584317624872,0.8034905957160974,2
public_square,glassbreak,conv-spad-256-64-100,4096,0,0.7763286551717083,0.868539460298309,2
public_square,glassbreak,conv-spad-256-64-100,4096,6,0.8575024616689624,0.92354966005852,2
airport,gunshot,conv-spad-256-64-100,4096,-6,0.5015169877907971,0.6384650997583433,2
airport,gunshot,conv-spad-256-64-100,4096,0,0.5525407620803872,0.6812640892615087,2
airport,gunshot,conv-spad-256-64-100,4096,6,0.6985459524417481,0.7984917877339789,2
airport,glassbreak,conv-spad-256-64-100,4096,-6,0.7051193198352312,0.8094594806207004,2
airport,glassbreak,conv-spad-256-64-100,4096,0,0.7544102747562615,0.8532027148061099,2
airport,glassbreak,conv-spad-256-64-100,4096,6,0.8202731732990234,0.9000092497043056,2
street_traffic,gunshot,conv-spad-256-64-100,4096,-6,0.5396772003360688,0.6646266511450087,3
street_traffic,gunshot,conv-spad-256-64-100,4096,0,0.6488864635943479,0.7460119068507992,3
street_traffic,gunshot,conv-spad-256-64-100,4096,6,0.7998718627875759,0.8671035358873912,3
street_traffic,glassbreak,conv-spad-256-64-100,4096,-6,0.7417227576027956,0.8391524618946782,3
street_traffic,glassbreak,conv-spad-256-64-100,4096,0,0.8047099020514478,0.8880469273372563,3
street_traffic,glassbreak,conv-spad-256-64-100,4096,6,0.8705556285029608,0.92936464063929,3
street_pedestrian,gunshot,conv-spad-256-64-100,4096,-6,0.5147046784269763,0.6525187978197148,3
street_pedestrian,gunshot,conv-spad-256-64-100,4096,0,0.6081647229380647,0.7349719079958604,3
street_pedestrian,gunshot,conv-spad-256-64-100,4096,6,0.7574274436113503,0.8509057971588962,3
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,-6,0.6907211581941461,0.8034143039296436,3
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,0,0.7633696429509718,0.8633562837296027,3
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,6,0.8363667911520475,0.9139632778870928,3
shopping_mall,gunshot,conv-spad-256-64-100,4096,-6,0.5054049634653734,0.642994875591477,3
shopping_mall,gunshot,conv-spad-256-64-100,4096,0,0.6014840936824197,0.7223328673484778,3
shopping_mall,gunshot,conv-spad-256-64-100,4096,6,0.7723322050919976,0.8585740295451393,3
shopping_mall,glassbreak,conv-spad-256-64-100,4096,-6,0.7015429570946381,0.8166972517622617,3
shopping_mall,glassbreak,conv-spad-256-64-100,4096,0,0.772693058354902,0.873060459603372,3
shopping_mall,glassbreak,conv-spad-256-64-100,4096,6,0.8486775827201617,0.9214289887701372,3
public_square,gunshot,conv-spad-256-64-100,4096,-6,0.5149474957528165,0.6506956128889124,3
public_square,gunshot,conv-spad-256-64-100,4096,0,0.6251744077316171,0.7422203065312692,3
public_square,gunshot,conv-spad-256-64-100,4096,6,0.7816511197641336,0.8628853557605879,3
public_square,glassbreak,conv-spad-256-64-100,4096,-6,0.692563074314976,0.800318638210706,3
public_square,glassbreak,conv-spad-256-64-100,4096,0,0.7725025097730234,0.8658224406433661,3
public_square,glassbreak,conv-spad-256-64-100,4096,6,0.8547971654885497,0.921703361505382,3
airport,gunshot,conv-spad-256-64-100,4096,-6,0.5102509175976044,0.6435371206264701,3
airport,gunshot,conv-spad-256-64-100,4096,0,0.5601259330664908,0.6855975855541975,3
airport,gunshot,conv-spad-256-64-100,4096,6,0.7055330702377014,0.8022095061501215,3
airport,glassbreak,conv-spad-256-64-100,4096,-6,0.706814276349343,0.8091436643307979,3
airport,glassbreak,conv-spad-256-64-100,4096,0,0.7555559701831611,0.8524911285053816,3
airport,glassbreak,conv-spad-256-64-100,4096,6,0.8197631949972182,0.8989306217320607,3
street_traffic,gunshot,conv-spad-256-64-100,4096,-6,0.5327977877308003,0.6582824692753924,4
street_traffic,gunshot,conv-spad-256-64-100,4096,0,0.6428348986977647,0.7407630067148767,4
street_traffic,gunshot,conv-spad-256-64-100,4096,6,0.7956058121138365,0.8636852947423745,4
street_traffic,glassbreak,conv-spad-256-64-100,4096,-6,0.7383063211532761,0.8370772437545327,4
street_traffic,glassbreak,conv-spad-256-64-100,4096,0,0.8027078445931846,0.8867799691134676,4
street_traffic,glassbreak,conv-spad-256-64-100,4096,6,0.8698974453198394,0.928975062116294,4
street_pedestrian,gunshot,conv-spad-256-64-100,4096,-6,0.514215746090127,0.6527697128581431,4
street_pedestrian,gunshot,conv-spad-256-64-100,4096,0,0.6057134856393691,0.7338902355959547,4
street_pedestrian,gunshot,conv-spad-256-64-100,4096,6,0.7562835236132166,0.8500274086294305,4
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,-6,0.6922753526943396,0.8047034880953632,4
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,0,0.7633368303780405,0.8635282703243848,4
street_pedestrian,glassbreak,conv-spad-256-64-100,4096,6,0.837311778514729,0.9141555538478138,4
shopping_mall,gunshot,conv-spad-256-64-100,4096,-6,0.5025038898206734,0.6413815369321715,4
shopping_mall,gunshot,conv-spad-256-64-100,4096,0,0.5978644713978163,0.7202317848969608,4
shopping_mall,gunshot,conv-spad-256-64-100,4096,6,0.7693945098811301,0.8566166545124659,4
shopping_mall,glassbreak,conv-spad-256-64-100,4096,-6,0.7014913520741473,0.8171206972703643,4
shopping_mall,glassbreak,conv-spad-256-64-100,4096,0,0.7727970689277602,0.8731023038674234,4
shopping_mall,glassbreak,conv-spad-256-64-100,4096,6,0.8506414800528206,0.9222046493281856,4
public_square,gunshot,conv-spad-256-64-100,4096,-6,0.5102463044093416,0.6476320653608043,4
public_square,gunshot,conv-spad-256-64-100,4096,0,0.6199124750577971,0.7386938948210735,4
public_square,gunshot,conv-spad-256-64-100,4096,6,0.778200995990893,0.8608007692121473,4
public_square,glassbreak,conv-spad-256-64-100,4096,-6,0.6921699607089735,0.8004655736934794,4
public_square,glassbreak,conv-spad-256-64-100,4096,0,0.7735094571628194,0.8664144670468497,4
public_square,glassbreak,conv-spad-256-64-100,4096,6,0.8562774076560209,0.9223666343051532,4
airport,gunshot,conv-spad-256-64-100,4096,-6,0.5020780929827457,0.6371747439865068,4
airport,gunshot,conv-spad-256-64-100,4096,0,0.5534964107295655,0.6798730671356932,4
airport,gunshot,conv-spad-256-64-100,4096,6,0.6991507032002092,0.7976507477225467,4
airport,glassbreak,conv-spad-256-64-100,4096,-6,0.7033139591583191,0.8066938081821087,4
airport,glassbreak,conv-spad-256-64-100,4096,0,0.7527767515140108,0.8507359598208132,4
airport,glassbreak,conv-spad-256-64-100,4096,6,0.8186614590453972,0.8983243555088473,4
metro,gunshot,conv-spad-256-64-100,4096,-6,0.5729660505218679,0.699863478628338,0
metro,gunshot,conv-spad-256-64-100,4096,0,0.7020908986684575,0.8080403603179628,0
metro,gunshot,conv-spad-256-64-100,4096,6,0.8376898258657934,0.9065110115984129,0
metro,glassbreak,conv-spad-256-64-100,4096,-6,0.7713485347940877,0.8682037751636875,0
metro,glassbreak,conv-spad-256-64-100,4096,0,0.8366046757596781,0.9126822457883936,0
metro,glassbreak,conv-spad-256-64-100,4096,6,0.9011769143371146,0.9495920034902132,0
metro,gunshot,conv-spad-256-64-100,4096,-6,0.5803959047546741,0.7042245265256744,1
metro,gunshot,conv-spad-256-64-100,4096,0,0.7084742672884019,0.8118908048985354,1
metro,gunshot,conv-spad-256-64-100,4096,6,0.8399723772831604,0.9077275485370188,1
metro,glassbreak,conv-spad-256-64-100,4096,-6,0.7753006421628564,0.8700000378130986,1
metro,glassbreak,conv-spad-256-64-100,4096,0,0.840071269704464,0.913917151043483,1
metro,glassbreak,conv-spad-256-64-100,4096,6,0.9025821253433748,0.950052991265642,1
metro,gunshot,conv-spad-256-64-100,4096,-6,0.5778198671085866,0.7004270141032682,2
metro,gunshot,conv-spad-256-64-100,4096,0,0.706964726253466,0.8096440680502454,2
metro,gunshot,conv-spad-256-64-100,4096,6,0.83885358508962,0.9066420246577312,2
metro,glassbreak,conv-spad-256-64-100,4096,-6,0.774760446964203,0.8694650222260495,2
metro,glassbreak,conv-spad-256-64-100,4096,0,0.8397033449935599,0.913577890293422,2
metro,glassbreak,conv-spad-256-64-100,4096,6,0.9030496850129748,0.950149110745765,2
metro,gunshot,conv-spad-256-64-100,4096,-6,0.5786804340265602,0.6992281081900709,3
metro,gunshot,conv-spad-256-64-100,4096,0,0.7055230290138546,0.8079400113692581,3
metro,gunshot,conv-spad-256-64-100,4096,6,0.8375009889994032,0.9056281740308396,3
metro,glassbreak,conv-spad-256-64-100,4096,-6,0.77355572292303,0.8679408262122672,3
metro,glassbreak,conv-spad-256-64-100,4096,0,0.8382215027910218,0.9124458099384734,3
metro,glassbreak,conv-spad-256-64-100,4096,6,0.901702142722854,0.9492746897768248,3
metro,gunshot,conv-spad-256-64-100,4096,-6,0.5724830602798606,0.6957717386269209,4
